#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Arabidopsis thaliana","Eukaryota;Plants;Land Plants","","SAMN03081427","PRJNA10719","GCA_000001735.2"," Chromosome",119.669,36.0529,"chromosome 1:NC_003070.9/CP002684.1; chromosome 2:NC_003071.7/CP002685.1; chromosome 3:NC_003074.8/CP002686.1; chromosome 4:NC_003075.7/CP002687.1; chromosome 5:NC_003076.8/CP002688.1; mitochondrion MT:NC_037304.1/BK010421.1; chloroplast Pltd:NC_000932.1/AP000423.1",,7,48265,"2001-08-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/735/GCA_000001735.2_TAIR10.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/735/GCF_000001735.4_TAIR10.1"
"Glycine max","Eukaryota;Plants;Land Plants","","SAMN00002965","PRJNA19861","GCA_000004515.5"," Chromosome",978.942,35.1221,"chromosome 1:NC_016088.4/CM000834.4; chromosome 2:NC_016089.4/CM000835.4; chromosome 3:NC_016090.4/CM000836.4; chromosome 4:NC_016091.4/CM000837.4; chromosome 5:NC_038241.2/CM000838.3; chromosome 6:NC_038242.2/CM000839.4; chromosome 7:NC_038243.2/CM000840.4; chromosome 8:NC_038244.2/CM000841.4; chromosome 9:NC_038245.2/CM000842.4; chromosome 10:NC_038246.2/CM000843.4; chromosome 11:NC_038247.2/CM000844.4; chromosome 12:NC_038248.2/CM000845.3; chromosome 13:NC_038249.2/CM000846.3; chromosome 14:NC_038250.2/CM000847.3; chromosome 15:NC_038251.2/CM000848.3; chromosome 16:NC_038252.2/CM000849.3; chromosome 17:NC_038253.2/CM000850.4; chromosome 18:NC_038254.2/CM000851.4; chromosome 19:NC_038255.2/CM000852.4; chromosome 20:NC_038256.2/CM000853.4; mitochondrion MT:NC_020455.1/; chloroplast Pltd:NC_007942.1/","ACUP04",347,74248,"2010-01-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/515/GCA_000004515.5_Glycine_max_v4.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/515/GCF_000004515.6_Glycine_max_v4.0"
"Medicago truncatula","Eukaryota;Plants;Land Plants","","SAMN08400029","PRJNA702529","GCA_003473485.2"," Chromosome",430.008,33.4462,"chromosome 1:NC_053042.1/CM010648.1; chromosome 2:NC_053043.1/CM010649.1; chromosome 3:NC_053044.1/CM010650.1; chromosome 4:NC_053045.1/CM010651.1; chromosome 5:NC_053046.1/CM010652.1; chromosome 6:NC_053047.1/CM010653.1; chromosome 7:NC_053048.1/CM010654.1; chromosome 8:NC_053049.1/CM010655.1; mitochondrion MT:NC_029641.1/; chloroplast Pltd:NC_003119.8/","PSQE01",42,42683,"2018-09-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/473/485/GCA_003473485.2_MtrunA17r5.0-ANR","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/473/485/GCF_003473485.1_MtrunA17r5.0-ANR"
"Solanum lycopersicum","Eukaryota;Plants;Land Plants","","SAMN02981290","PRJNA119","GCA_000188115.3"," Chromosome",828.349,35.6991,"chromosome 1:NC_015438.3/CM001064.3; chromosome 2:NC_015439.3/CM001065.3; chromosome 3:NC_015440.3/CM001066.3; chromosome 4:NC_015441.3/CM001067.3; chromosome 5:NC_015442.3/CM001068.3; chromosome 6:NC_015443.3/CM001069.3; chromosome 7:NC_015444.3/CM001070.3; chromosome 8:NC_015445.3/CM001071.3; chromosome 9:NC_015446.3/CM001072.3; chromosome 10:NC_015447.3/CM001073.3; chromosome 11:NC_015448.3/CM001074.3; chromosome 12:NC_015449.3/CM001075.3; mitochondrion MT:NC_035963.1/; chloroplast Pltd:NC_007898.3/","AEKE03",3150,37660,"2010-12-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/115/GCA_000188115.3_SL3.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/115/GCF_000188115.4_SL3.0"
"Hordeum vulgare subsp. vulgare","Eukaryota;Plants;Land Plants","","SAMEA7384724","PRJEB40589","GCA_904849725.1"," Chromosome",4225.71,44.4649,"chromosome 1H:NC_058518.1/LR890096.1; chromosome 2H:NC_058519.1/LR890097.1; chromosome 3H:NC_058520.1/LR890098.1; chromosome 4H:NC_058521.1/LR890099.1; chromosome 5H:NC_058522.1/LR890100.1; chromosome 6H:NC_058523.1/LR890101.1; chromosome 7H:NC_058524.1/LR890102.1; chloroplast Pltd:NC_008590.1/","CAJHDD01",291,40284,"2021-02-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/904/849/725/GCA_904849725.1_MorexV3_pseudomolecules_assembly","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/904/849/725/GCF_904849725.1_MorexV3_pseudomolecules_assembly"
"Oryza sativa Japonica Group","Eukaryota;Plants;Land Plants","","SAMD00000397","PRJNA12269","GCA_001433935.1"," Chromosome",374.423,43.5769,"chromosome 1:NC_029256.1/AP014957.1; chromosome 2:NC_029257.1/AP014958.1; chromosome 3:NC_029258.1/AP014959.1; chromosome 4:NC_029259.1/AP014960.1; chromosome 5:NC_029260.1/AP014961.1; chromosome 6:NC_029261.1/AP014962.1; chromosome 7:NC_029262.1/AP014963.1; chromosome 8:NC_029263.1/AP014964.1; chromosome 9:NC_029264.1/AP014965.1; chromosome 10:NC_029265.1/AP014966.1; chromosome 11:NC_029266.1/AP014967.1; chromosome 12:NC_029267.1/AP014968.1; mitochondrion MT:NC_011033.1/; plastid Pltd:NC_001320.1/",,58,42578,"2015-10-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/433/935/GCA_001433935.1_IRGSP-1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/935/GCF_001433935.1_IRGSP-1.0"
"Triticum aestivum","Eukaryota;Plants;Land Plants","","SAMN16451473","PRJNA764258","GCA_018294505.1"," Chromosome",14567,46.215,"chromosome 1A:NC_057794.1/CM031178.1; chromosome 1B:NC_057795.1/CM031179.1; chromosome 1D:NC_057796.1/CM031180.1; chromosome 2A:NC_057797.1/CM031181.1; chromosome 2B:NC_057798.1/CM031182.1; chromosome 2D:NC_057799.1/CM031183.1; chromosome 3A:NC_057800.1/CM031184.1; chromosome 3B:NC_057801.1/CM031185.1; chromosome 3D:NC_057802.1/CM031186.1; chromosome 4A:NC_057803.1/CM031187.1; chromosome 4B:NC_057804.1/CM031188.1; chromosome 4D:NC_057805.1/CM031189.1; chromosome 5A:NC_057806.1/CM031190.1; chromosome 5B:NC_057807.1/CM031191.1; chromosome 5D:NC_057808.1/CM031192.1; chromosome 6A:NC_057809.1/CM031193.1; chromosome 6B:NC_057810.1/CM031194.1; chromosome 6D:NC_057811.1/CM031195.1; chromosome 7A:NC_057812.1/CM031196.1; chromosome 7B:NC_057813.1/CM031197.1; chromosome 7D:NC_057814.1/CM031198.1; mitochondrion MT:NC_036024.1/","JAGHKL01",91589,142442,"2021-05-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/294/505/GCA_018294505.1_IWGSC_CS_RefSeq_v2.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/294/505/GCF_018294505.1_IWGSC_CS_RefSeq_v2.1"
"Zea mays","Eukaryota;Plants;Land Plants","","SAMEA5569141","PRJEB32225","GCA_902167145.1"," Chromosome",2182.79,46.7831,"chromosome 1:NC_050096.1/LR618874.1; chromosome 2:NC_050097.1/LR618875.1; chromosome 3:NC_050098.1/LR618876.1; chromosome 4:NC_050099.1/LR618877.1; chromosome 5:NC_050100.1/LR618878.1; chromosome 6:NC_050101.1/LR618879.1; chromosome 7:NC_050102.1/LR618880.1; chromosome 8:NC_050103.1/LR618881.1; chromosome 9:NC_050104.1/LR618882.1; chromosome 10:NC_050105.1/LR618883.1; mitochondrion MT:NC_007982.1/; chloroplast Pltd:NC_001666.2/","CABHLF01",687,57578,"2020-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/167/145/GCA_902167145.1_Zm-B73-REFERENCE-NAM-5.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/167/145/GCF_902167145.1_Zm-B73-REFERENCE-NAM-5.0"
"Caenorhabditis briggsae","Eukaryota;Animals;Roundworms","AF16","SAMEA3138181","PRJNA10731","GCA_000004555.3"," Chromosome",108.384,37.6966,"chromosome I:NC_013489.2/FR847112.2; chromosome II:NC_013486.2/FR847113.2; chromosome III:NC_013490.2/FR847114.2; chromosome IV:NC_013487.2/FR847118.2; chromosome V:NC_013488.2/FR847121.2; chromosome X:NC_013491.2/FR847123.2","CAAC03",638,21954,"2002-08-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/555/GCA_000004555.3_CB4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/555/GCF_000004555.2_CB4"
"Caenorhabditis elegans","Eukaryota;Animals;Roundworms","Bristol N2","SAMEA3138177","PRJNA13758","GCA_000002985.3","Complete",100.286,35.4317,"chromosome I:NC_003279.8/BX284601.5; chromosome II:NC_003280.10/BX284602.5; chromosome III:NC_003281.10/BX284603.4; chromosome IV:NC_003282.8/BX284604.4; chromosome V:NC_003283.11/BX284605.5; chromosome X:NC_003284.9/BX284606.5; mitochondrion MT:NC_001328.1/",,7,28447,"2001-12-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/985/GCA_000002985.3_WBcel235","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235"
