#Organism Name,Organism Groups,Strain,BioSample,BioProject,Size(Mb),GC%,Type,Replicons,CDS,Release Date
"(Cyprinus carpio 'mirror' x Cyprinus carpio 'singuonensis') x Carassius auratus red var.","Eukaryota;Animals;Fishes","","","PRJNA353408",0.016581,43.3207,"mitochondrion","NC_031807.1/KU146531.1",13,"2016-11-14T00:00:00Z"
"Aacanthocnema dobsoni","Eukaryota;Animals;Insects","","","PRJNA483618",0.015179,21.9382,"mitochondrion","NC_038132.1/MG989216.1",13,"2018-07-31T00:00:00Z"
"Abacion magnum","Eukaryota;Animals;Other Animals","","","PRJNA214390",0.01516,33.4037,"mitochondrion","NC_021932.1/JX437062.1",13,"2013-08-06T00:00:00Z"
"Abalistes stellaris","Eukaryota;Animals;Fishes","","","PRJNA33735",0.016502,44.4189,"mitochondrion","NC_011943.1/AP009202.1",13,"2009-01-22T00:00:00Z"
"Abax parallelepipedus","Eukaryota;Animals;Insects","","","PRJNA328640",0.017701,20.7446,"mitochondrion","NC_030592.1/KT876877.1",13,"2016-07-12T00:00:00Z"
"Abbottina binhi","Eukaryota;Animals;Fishes","","","PRJNA642447",0.016609,44.1387,"mitochondrion","NC_048988.1/MK852688.1",13,"2020-06-28T00:00:00Z"
"Abbottina obtusirostris","Eukaryota;Animals;Fishes","","","PRJNA281841",0.016599,44.0629,"mitochondrion","NC_026900.1/KP727758.1",13,"2015-04-22T00:00:00Z"
"Abbottina rivularis","Eukaryota;Animals;Fishes","","","PRJNA241204",0.016597,44.2911,"mitochondrion","NC_023781.1/KF577979.1",13,"2014-03-13T00:00:00Z"
"Abelia chinensis","Eukaryota;Plants;Land Plants","","","PRJNA579669",0.157225,38.3762,"chloroplast","NC_045043.1/MN384463.1",79,"2019-10-29T00:00:00Z"
"Abelia x grandiflora","Eukaryota;Plants;Land Plants","","","PRJNA579689",0.157107,38.4057,"chloroplast","NC_045054.1/MN524635.1",76,"2019-10-29T00:00:00Z"
"Abeliophyllum distichum","Eukaryota;Plants;Land Plants","","","PRJNA348078",0.155982,37.8185,"chloroplast","NC_031445.1/KT274029.1",87,"2016-10-13T00:00:00Z"
"Abelmoschus esculentus","Eukaryota;Plants;Land Plants","","","PRJNA394355",0.163121,36.7365,"chloroplast","NC_035234.1/KY635876.1",87,"2017-07-14T00:00:00Z"
"Abelmoschus manihot","Eukaryota;Plants;Land Plants","","","PRJNA703115",0.163428,36.7048,"chloroplast","NC_053353.1/MT898000.1",87,"2021-03-09T00:00:00Z"
"Abelmoschus moschatus","Eukaryota;Plants;Land Plants","","","PRJNA703285",0.16343,36.7081,"chloroplast","NC_053355.1/MT890968.1",87,"2021-03-09T00:00:00Z"
"Abelmoschus sagittifolius","Eukaryota;Plants;Land Plants","","","PRJNA703111",0.163453,36.6876,"chloroplast","NC_053354.1/MT898001.1",87,"2021-03-09T00:00:00Z"
"Abidama producta","Eukaryota;Animals;Insects","","","PRJNA70039",0.015277,22.6484,"mitochondrion","NC_015799.1/GQ337955.1",13,"2011-07-14T00:00:00Z"
"Abies alba","Eukaryota;Plants;Land Plants","","","PRJNA546344",0.121243,38.267,"chloroplast","NC_042410.1/MH706724.1",74,"2019-06-06T00:00:00Z"
"Abies balsamea","Eukaryota;Plants;Land Plants","","","PRJNA550691",0.121574,38.2483,"chloroplast","NC_042778.1/MH706725.1",74,"2019-06-25T00:00:00Z"
"Abies beshanzuensis","Eukaryota;Plants;Land Plants","","","PRJNA608373",0.121399,38.2565,"chloroplast","NC_045884.1/MH476330.1",74,"2020-02-24T00:00:00Z"
"Abies chensiensis","Eukaryota;Plants;Land Plants","","","PRJNA532145",0.121329,38.258,"chloroplast","NC_041464.1/MH796673.1",74,"2019-04-10T00:00:00Z"
"Abies concolor","Eukaryota;Plants;Land Plants","","","PRJNA496181",0.120427,38.3369,"plastid","NC_039581.1/MH612853.1",71,"2018-11-06T00:00:00Z"
"Abies delavayi","Eukaryota;Plants;Land Plants","","","PRJNA755081",0.120141,38.2592,"chloroplast","NC_057313.1/MH706709.1",74,"2021-08-31T00:00:00Z"
"Abies fabri","Eukaryota;Plants;Land Plants","","","PRJNA755120",0.120027,38.2956,"chloroplast","NC_057314.1/MH706710.1",74,"2021-08-31T00:00:00Z"
"Abies fanjingshanensis","Eukaryota;Plants;Land Plants","","","PRJNA550938",0.120057,38.2976,"chloroplast","NC_042777.1/MH706717.1",74,"2019-06-25T00:00:00Z"
"Abies fargesii","Eukaryota;Plants;Land Plants","","","PRJNA550686",0.121799,38.2704,"chloroplast","NC_042775.1/MH706716.1",74,"2019-06-25T00:00:00Z"
"Abies georgei var. smithii","Eukaryota;Plants;Land Plants","","","PRJNA717417",0.121191,38.2603,"chloroplast","NC_054152.1/MT133567.1",79,"2021-04-15T00:00:00Z"
"Abies kawakamii","Eukaryota;Plants;Land Plants","","","PRJNA550902",0.12129,38.2529,"chloroplast","NC_042776.1/MH706726.1",74,"2019-06-25T00:00:00Z"
"Abies koreana","Eukaryota;Plants;Land Plants","","","PRJNA281852",0.121373,38.2499,"chloroplast","NC_026892.1/KP742350.1",74,"2015-04-22T00:00:00Z"
"Abies nukiangensis","Eukaryota;Plants;Land Plants","","","PRJNA754933",0.120017,38.2904,"chloroplast","NC_057315.1/MH706711.1",74,"2021-08-31T00:00:00Z"
"Abies religiosa","Eukaryota;Plants;Land Plants","","","PRJNA496173",0.119423,38.3611,"plastid","NC_039582.1/MH612854.1",65,"2018-11-06T00:00:00Z"
"Abies sibirica","Eukaryota;Plants;Land Plants","","","PRJNA390367",0.121224,38.2606,"chloroplast","NC_035067.1/KR476376.1",74,"2017-06-13T00:00:00Z"
"Abies yuanbaoshanensis","Eukaryota;Plants;Land Plants","","","PRJNA672669",0.121795,38.2856,"chloroplast","NC_050849.1/MH706718.1",74,"2020-10-27T00:00:00Z"
"Abisara fylloides","Eukaryota;Animals;Insects","","","PRJNA212609",0.015301,18.8288,"mitochondrion","NC_021746.1/HQ259069.1",13,"2013-07-18T00:00:00Z"
"Ablennes hians","Eukaryota;Animals;Fishes","","","PRJNA31075",0.016825,41.7415,"mitochondrion","NC_011180.1/AB373007.1",13,"2008-08-27T00:00:00Z"
"Aborichthys elongatus","Eukaryota;Animals;Fishes","","","PRJNA350101",0.016544,40.5404,"mitochondrion","NC_031582.1/AP011304.1",13,"2016-10-21T00:00:00Z"
"Abramis brama","Eukaryota;Animals;Fishes","","","PRJNA190179",0.016607,43.0421,"mitochondrion","NC_020356.1/AP009305.1",13,"2013-02-25T00:00:00Z"
"Abramites hypselonotus","Eukaryota;Animals;Fishes","","","PRJNA805699",0.016685,42.1277,"mitochondrion","NC_060323.1/MW541938.1",13,"2022-02-11T00:00:00Z"
"Abraxas suspecta","Eukaryota;Animals;Insects","","","PRJNA387870",0.015537,19.1285,"mitochondrion","NC_034804.1/KY095828.1",13,"2017-05-24T00:00:00Z"
"Abraximorpha davidii","Eukaryota;Animals;Insects","","","PRJNA707673",0.015469,18.4563,"mitochondrion","NC_053717.1/MT371044.1",13,"2021-03-26T00:00:00Z"
"Abronia graminea","Eukaryota;Animals;Reptiles","","","PRJNA12408",0.016016,39.6978,"mitochondrion","NC_005958.1/AB080273.1",13,"2004-07-02T00:00:00Z"
"Abrostola tripartita","Eukaryota;Animals;Insects","","SAMEA7520667","PRJEB43728",0.015302,19.8601,"mitochondrion","MT:HG996517.1",0,"2021-03-19T00:00:00Z"
"Abrota ganga","Eukaryota;Animals;Insects","","","PRJNA253431",0.015356,18.794,"mitochondrion","NC_024404.1/KF590536.1",13,"2014-06-24T00:00:00Z"
"Abrus expansivus","Eukaryota;Animals;Insects","","","PRJNA594675",0.015904,25.2578,"mitochondrion","NC_045238.1/MK033020.1",13,"2019-12-12T00:00:00Z"
"Abrus precatorius","Eukaryota;Plants;Land Plants","","","PRJNA628333",0.1565,35.4032,"plastid","NC_047402.1/MN709888.1",83,"2020-04-26T00:00:00Z"
"Abscondita anceyi","Eukaryota;Animals;Insects","","","PRJNA504191",0.016519,20.1586,"mitochondrion","NC_039706.1/MH020192.1",13,"2018-11-09T00:00:00Z"
"Abscondita terminalis","Eukaryota;Animals;Insects","","","PRJNA573396",0.016402,20.1988,"mitochondrion","NC_044776.1/MK292092.1",13,"2019-09-21T00:00:00Z"
"Abudefduf bengalensis","Eukaryota;Animals;Fishes","","","PRJNA527593",0.016776,44.8259,"mitochondrion","NC_041192.1/MH678614.1",13,"2019-03-18T00:00:00Z"
"Abudefduf vaigiensis","Eukaryota;Animals;Fishes","","","PRJNA18909",0.016703,45.405,"mitochondrion","NC_009064.1/AP006016.1",13,"2007-02-27T00:00:00Z"
