#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Solanum verrucosum","Eukaryota;Plants;Land Plants","","SAMEA104077226","PRJEB21130","GCA_900185335.1","Scaffold",749.835,0,,"FXZU01",5164,0,"2018-05-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/185/335/GCA_900185335.1_hgap-bn",
"Solanum verrucosum","Eukaryota;Plants;Land Plants","","SAMEA104077226","PRJEB21126","GCA_900185175.1","Scaffold",764.063,0,,"FXZT01",7840,0,"2018-05-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/185/175/GCA_900185175.1_canu-bn",
"Raphanus sativus var. raphanistroides","Eukaryota;Plants;Land Plants","JC5","SAMN15573956","PRJNA646918","GCA_019705965.1"," Chromosome",486.119,36.9182,"chromosome 1:CM033962.1; chromosome 2:CM033963.1; chromosome 3:CM033964.1; chromosome 4:CM033965.1; chromosome 5:CM033966.1; chromosome 6:CM033967.1; chromosome 7:CM033968.1; chromosome 8:CM033969.1; chromosome 9:CM033970.1","JACZFX01",60,0,"2021-08-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/705/965/GCA_019705965.1_IVFCAAS_Rs07_1.0",
"Cannabis sativa","Eukaryota;Plants;Land Plants","Mother","SAMN12904853","PRJNA575581","GCA_012923435.1","Contig",876.736,34.1,,"JAATIP01",1599,27358,"2020-04-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/923/435/GCA_012923435.1_JL_Mother",
"Camellia sinensis var. assamica","Eukaryota;Plants;Land Plants","UPASI-3","SAMN19222200","PRJNA730185","GCA_020536865.1"," Chromosome",3062.77,38.5198,"chromosome 1:CM036037.1; chromosome 2:CM036038.1; chromosome 3:CM036039.1; chromosome 4:CM036040.1; chromosome 5:CM036041.1; chromosome 6:CM036042.1; chromosome 7:CM036043.1; chromosome 8:CM036044.1; chromosome 9:CM036045.1; chromosome 10:CM036046.1; chromosome 11:CM036047.1; chromosome 12:CM036048.1; chromosome 13:CM036049.1; chromosome 14:CM036050.1; chromosome 15:CM036051.1","JAHQJZ01",163,0,"2021-10-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/536/865/GCA_020536865.1_ASM2053686v1",
"Citrus sinensis","Eukaryota;Plants;Land Plants","","SAMN07313349","PRJNA321100","GCA_019144155.1"," Chromosome",346.492,34.1571,"chromosome 1:CM032707.1; chromosome 2:CM032708.1; chromosome 3:CM032709.1; chromosome 4:CM032710.1; chromosome 5:CM032711.1; chromosome 6:CM032712.1; chromosome 7:CM032713.1; chromosome 8:CM032714.1; chromosome 9:CM032715.1","JAFVMM01",274,0,"2021-07-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/144/155/GCA_019144155.1_ASM1914415v1",
"Cucumis melo var. makuwa","Eukaryota;Plants;Land Plants","","SAMN11381272","PRJNA531748","GCA_005549215.1","Scaffold",358.48,32.7,,"SSTE01",23444,38173,"2019-05-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/549/215/GCA_005549215.1_ASM554921v1",
"Cucumis sativus","Eukaryota;Plants;Land Plants","","SAMN15829354","PRJNA657438","GCA_016161885.1"," Chromosome",238.422,33.4619,"chromosome 1:CM028081.1; chromosome 2:CM028082.1; chromosome 3:CM028083.1; chromosome 4:CM028084.1; chromosome 5:CM028085.1; chromosome 6:CM028086.1; chromosome 7:CM028087.1","JACOQU01",238,0,"2020-12-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/161/885/GCA_016161885.1_Cuc37_PacBio_assembly",
"Oryza rufipogon","Eukaryota;Plants;Land Plants","","SAMEA1531495","PRJEB29274","GCA_900609435.1","Contig",0.460371,43.2,,"UXCI01",141,0,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/609/435/GCA_900609435.1_Draft_mitochondrial_genome_of_wild_rice_W1782",
"Manihot esculenta","Eukaryota;Plants;Land Plants","","SAMN02592734","PRJNA236442","GCA_000737115.1","Scaffold",292.098,34.5,,"JPQF01",65771,0,"2014-07-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/115/GCA_000737115.1_MK_v2b",
