TaxID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Organism Groups,Strain,Size(Mb),GC%,Type,CDS,Assembly,Genes,rRNA,tRNA
399255,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Triozidae,Aacanthocnema,Aacanthocnema dobsoni,Eukaryota;Animals;Insects,,0.015179,21.9382,mitochondrion,13,,37,2,22
118452,Eukaryota,Metazoa,Arthropoda,Diplopoda,Callipodida,Callipodidae,Abacion,Abacion magnum,Eukaryota;Animals;Other Animals,,0.01516,33.4037,mitochondrion,13,,35,2,22
392897,Eukaryota,Metazoa,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Abalistes,Abalistes stellaris,Eukaryota;Animals;Fishes,,0.016502,44.4189,mitochondrion,13,,13,2,22
102642,Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Carabidae,Abax,Abax parallelepipedus,Eukaryota;Animals;Insects,,0.017701,20.7446,mitochondrion,13,,37,2,22
2745886,Eukaryota,Metazoa,Chordata,Actinopteri,Cypriniformes,Gobionidae,Abbottina,Abbottina binhi,Eukaryota;Animals;Fishes,,0.016609,44.1387,mitochondrion,13,,37,2,22
1463498,Eukaryota,Metazoa,Chordata,Actinopteri,Cypriniformes,Gobionidae,Abbottina,Abbottina obtusirostris,Eukaryota;Animals;Fishes,,0.016599,44.0629,mitochondrion,13,,37,2,22
75332,Eukaryota,Metazoa,Chordata,Actinopteri,Cypriniformes,Gobionidae,Abbottina,Abbottina rivularis,Eukaryota;Animals;Fishes,,0.016597,44.2911,mitochondrion,13,,13,2,22
180068,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Abelia,Abelia chinensis,Eukaryota;Plants;Land Plants,,0.157225,38.3762,chloroplast,79,,128,8,37
105883,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Abelia,Abelia x grandiflora,Eukaryota;Plants;Land Plants,,0.157107,38.4057,chloroplast,76,,128,8,37
126358,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Abeliophyllum,Abeliophyllum distichum,Eukaryota;Plants;Land Plants,,0.155982,37.8185,chloroplast,87,,133,8,37
455045,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus esculentus,Eukaryota;Plants;Land Plants,,0.163121,36.7365,chloroplast,87,,131,8,36
183220,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus manihot,Eukaryota;Plants;Land Plants,,0.163428,36.7048,chloroplast,87,,132,8,37
1170222,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus moschatus,Eukaryota;Plants;Land Plants,,0.16343,36.7081,chloroplast,87,,132,8,37
1898876,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus sagittifolius,Eukaryota;Plants;Land Plants,,0.163453,36.6876,chloroplast,87,,132,8,37
658384,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Cercopidae,Abidama,Abidama producta,Eukaryota;Animals;Insects,,0.015277,22.6484,mitochondrion,13,,13,2,22
45372,Eukaryota,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies alba,Eukaryota;Plants;Land Plants,,0.121243,38.267,chloroplast,74,,113,4,35
90345,Eukaryota,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies balsamea,Eukaryota;Plants;Land Plants,,0.121574,38.2483,chloroplast,74,,113,4,35
